Completed message: 1, at step: 9847
Completed message: 2, at step: 28999
Completed message: 3, at step: 30034
Completed message: 4, at step: 32357
Completed message: 5, at step: 61650
Completed message: 6, at step: 67959
Completed message: 7, at step: 69914
Completed message: 8, at step: 94912
Completed message: 9, at step: 116751
Completed message: 10, at step: 125811
Completed message: 11, at step: 143613
Completed message: 12, at step: 148048
Completed message: 13, at step: 149588
Completed message: 14, at step: 172631
Completed message: 15, at step: 182307
Completed message: 16, at step: 186479
Completed message: 17, at step: 198754
Completed message: 18, at step: 220571
Completed message: 19, at step: 222961
Completed message: 20, at step: 252298
Completed message: 21, at step: 257755
Completed message: 22, at step: 260149
Completed message: 23, at step: 262069
Completed message: 24, at step: 274116
Completed message: 25, at step: 276235
Completed message: 26, at step: 285407
Completed message: 27, at step: 311270
Completed message: 28, at step: 313910
Completed message: 29, at step: 324489
Completed message: 30, at step: 338110
Completed message: 31, at step: 363085
Completed message: 32, at step: 387952
Completed message: 33, at step: 409445
Completed message: 34, at step: 421964
Completed message: 35, at step: 438705
Completed message: 36, at step: 454405
Completed message: 37, at step: 456624
Completed message: 38, at step: 471055
Completed message: 39, at step: 478046
Completed message: 40, at step: 494356
Completed message: 41, at step: 512375
Completed message: 42, at step: 516656
Completed message: 43, at step: 530031
Completed message: 44, at step: 551684
Completed message: 45, at step: 585007
Completed message: 46, at step: 588198
Completed message: 47, at step: 593368
Completed message: 48, at step: 603265
Completed message: 49, at step: 626036
Completed message: 50, at step: 639987
Last message completed.
Ending simulation: Last step: 639987 RetransmitNum: [14365, 20494, 28041, 43004, 43575, 53650, 54221, 79851, 80561, 91207, 92692, 105559, 109545, 116205, 120191, 136458, 141548, 159337, 160235, 170881, 172007, 197126, 198194, 208840, 209401, 219486, 220047, 233112, 233608, 244254, 251013, 271789, 272716, 287570, 296054, 298216, 306700, 332149, 335136, 348113, 348757, 359403, 362031, 372677, 373732, 384378, 386230, 398599, 399009, 409245, 409655, 420092, 427237, 432611, 449352, 451612, 467271, 471170, 488078, 488693, 502217, 505003, 527303, 528068, 540678, 545765, 551324, 556411, 562331, 572977, 575544, 583623, 586190, 608795, 613912, 624558, 625680, 636683]
All 50 messages completed.
